证券投资基金估值表,,,,,,,,,,,
上海和谐汇一资产管理有限公司___PRODUCT_002___专用表,,,,,,,,,,,
估值日期：20250327,,,,,,,单位净值：0.7807,,,单位：元,
科目代码,科目名称,数量,单位成本,成本,成本占净值%,市价,市值,市值占净值%,估值增值,停牌信息,
损益平准金_已实现:LY489APRODUCT_002A,,,,,,,,,,,
损益平准金_已实现:LY489BPRODUCT_002B,,,,,,,,,,,
资产类合计:,,,,"1,283,934,855.78",99.3112,,"1,310,080,066.34",101.3335,"26,145,210.56",,
负债类合计:,,,,"6,085,253.55",0.4707,,"17,240,308.49",1.3335,"11,155,054.94",,
基金资产净值:,,,,"1,277,849,602.23",98.8405,,"1,292,839,757.85",100.00,"14,990,155.62",,
基金资产净值:LY489APRODUCT_002A,,,,,,,"1,167,195,470.27",90.2815,,,
基金资产净值:LY489BPRODUCT_002B,,,,,,,"125,644,287.58",9.7185,,,
年初单位净值:,0.7298,,,,,,,,,,
基金单位净值：,0.7807,,,,,,,,,,
基金单位净值：LY489APRODUCT_002A,0.7829,,,,,,,,,,
基金单位净值：LY489BPRODUCT_002B,0.7611,,,,,,,,,,
昨日单位净值,0.7783,,,,,,,,,,
昨日单位净值:LY489APRODUCT_002A,0.7805,,,,,,,,,,
昨日单位净值:LY489BPRODUCT_002B,0.7587,,,,,,,,,,
,,,,,,,,,,,
净值年增长率(%):,6.9745,,,,,,,,,,
净值年增长率:LY489APRODUCT_002A(%),6.9389,,,,,,,,,,
净值年增长率:LY489BPRODUCT_002B(%),6.8510,,,,,,,,,,
净值季度增长率(%):,6.9745,,,,,,,,,,
净值季度增长率:LY489APRODUCT_002A(%),6.9389,,,,,,,,,,
净值季度增长率:LY489BPRODUCT_002B(%),6.8510,,,,,,,,,,
净值月增长率(%):,-3.2470,,,,,,,,,,
净值月增长率:LY489APRODUCT_002A(%),-3.2382,,,,,,,,,,
净值月增长率:LY489BPRODUCT_002B(%),-3.2664,,,,,,,,,,
净值周增长率(%):,0.8526,,,,,,,,,,
净值周增长率:LY489APRODUCT_002A(%),0.8502,,,,,,,,,,
净值周增长率:LY489BPRODUCT_002B(%),0.8480,,,,,,,,,,
净值日增长率(%),0.3084,,,,,,,,,,
净值日增长率:LY489APRODUCT_002A(%),0.3075,,,,,,,,,,
净值日增长率:LY489BPRODUCT_002B(%),0.3163,,,,,,,,,,
累计净值增长率,-21.9300,,,,,,,,,,
累计净值增长率:LY489APRODUCT_002A(%),-21.7100,,,,,,,,,,
累计净值增长率:LY489BPRODUCT_002B(%),-23.8900,,,,,,,,,,
,,,,,,,,,,,
累计单位净值:,0.7807,,,,,,,,,,
累计单位净值:LY489APRODUCT_002A,0.7829,,,,,,,,,,
累计单位净值:LY489BPRODUCT_002B,0.7611,,,,,,,,,,
本年已实现收益,"16,942,960.73",,,,,,,,,,
本年已实现收益:LY489APRODUCT_002A,"15,377,849.69",,,,,,,,,,
本年已实现收益:LY489BPRODUCT_002B,"1,565,111.04",,,,,,,,,,
本月已实现收益,"26,745,753.84",,,,,,,,,,
本月已实现收益:LY489APRODUCT_002A,"24,172,013.85",,,,,,,,,,
本月已实现收益:LY489BPRODUCT_002B,"2,573,739.99",,,,,,,,,,
从成立日开始的累计已实现收益,"-915,147,757.19",,,,,,,,,,
从成立日开始的累计已实现收益:LY489APRODUCT_002A,"-835,332,772.73",,,,,,,,,,
从成立日开始的累计已实现收益:LY489BPRODUCT_002B,"-79,814,984.46",,,,,,,,,,
可分配利润,"-489,596,978.77",,,,,,,,,,
可分配利润:LY489APRODUCT_002A,"-437,995,403.54",,,,,,,,,,
可分配利润:LY489BPRODUCT_002B,"-51,601,575.23",,,,,,,,,,
单位可分配利润,-0.296,,,,,,,,,,
单位可分配利润:LY489APRODUCT_002A,-0.294,,,,,,,,,,
单位可分配利润:LY489BPRODUCT_002B,-0.313,,,,,,,,,,
现金类占净值比(%):,12.77,,,,,,,,,,
一年内到期的政府债券占净值比(%):,,,,,,,,,,,
,,,,,,,,,,,
累计派现金额:,0.0000,,,,,,,,,,
累计派现金额:LY489APRODUCT_002A,0.0000,,,,,,,,,,
累计派现金额:LY489BPRODUCT_002B,0.0000,,,,,,,,,,
,,,,,,,,,,,
